iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,"TP,TN,FP,FN",Human Notes,rand
catechol analogs,mica,340,700,0.5,null,adhesion of catechol analogs to mica surfaces in acidic conditions and that adhesion decreases upon exposure to alkaline conditions,pubmed_11071048,,,0.2057033957
Tobacco Mosaic Virus (TMV),not provided,367.11,null,null,not provided,not provided,pubmed_9863966,,,0.5164511965
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-gkwnf,,,0.2524008078
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-ngqd8,,,0.6939092404
Sc_opsin1,not provided,571.2,609.8,0.34,value not provided,This chromophore is a putative opsin from Sinonovacula constricta and was found to have absorption and emission spectra in the study.,pubmed_10788561,,,0.4919116038
fulvene,none,280,490,null,null,This is a chromophore from the research paper and no spectral data was provided.,chemrxiv_10.26434_SLASH_chemrxiv-2024-s8z45,,,0.3186032989
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-vnb0c,,,0.1707468261
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-1ps85,,,0.1168302011
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-nhj5w,,,0.8936243388
FeWO4,water,209,690,null,null,"Amorphous precursor structure can be described through a skewed sandwich cluster with Keggin-like fragments, previously seen in crystalline (Ni6(H2O)9(OH)3(HSiW9O34))2(H2O)12.",chemrxiv_10.26434_SLASH_chemrxiv-2022-456nv,,,0.3051338692
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-860zh,,,0.4842125226
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-jpdjd,,,0.0308789308
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-drjln,,,0.3277986082
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-tg7fj-v2,,,0.106640962
methylene blue,water,661.23,293.77,0.45,null,The photocatalytic properties of the MoS2 were investigated for the degradation of methylene blue (MB). The absorption of visible light creates consequently holes in the valence band and electrons in the conduction band without affecting essential chemical bonds in the sulphide surface. The progress of the degradation reaction was monitored by measuring the changes in MB concentration in specified time intervals.,pubmed_10465577,,,0.0492444606
MnSbCoO4,1 M H2SO4,600,449.37,0.07,,,chemrxiv_10.26434_SLASH_chemrxiv-2023-41kt8,,,0.1818404747
failed,failed,failed,failed,failed,failed,failed,pubmed_9821818,,,0.375897862
failed,failed,failed,failed,failed,failed,failed,pubmed_10457457,,,0.6975741007
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-qplkf-v2,,,0.5366325774
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-bj8mk-v2,,,0.7914742513
N-(3-methoxybenzylidene)aniline,null,350.46,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-hrgfw,,,0.435409046
Trypanosoma cruzi,DMSO,750,910,0.2,extinction coefficient: 10^4 M^-1 cm^-1 at 750 nm,This strain of Trypanosoma cruzi was cultured in DMSO and exhibits absorption and emission spectra with peak wavelengths at 750 nm for absorption and 910 nm for emission. The molar absorptivity is 10^4 M^-1 cm^-1 at 750 nm.,pubmed_11168640,,,0.9090359036
MIL-53(Cr)-NH2,Water,600,null,null,null,A metal–organic framework with high thermal stability and large pore size.,chemrxiv_10.26434_SLASH_chemrxiv-2023-sw9kv,,,0.0795591499
rsEGFP2-V151A,water,483,null,null,null,no information found,pubmed_9804819,,,0.3049759788
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-3lq16,,,0.4007862362
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-hsgb9,,,0.9763828276
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-8rgnp,,,0.4915570789
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-xvm2l,,,0.3069943218
α-Carbonyl cation,DCE,null,null,null,null,Generated via HNTf2-catalyzed alkyne oxidations with pyridine N-oxides and intercepted via Wagner-Meerwein rearrangement.,chemrxiv_10.26434_SLASH_chemrxiv-2023-h9fj1,,,0.6303906576
iupac_name,solvent,867.91,926.59,null,molar_absorptivity (350 nm),246.7,chemrxiv_10.26434_SLASH_chemrxiv-2023-lh0qp-v2,,,0.5676713865
benzoylphosphonic acid,CH2Cl2,456,null,null,null,This is the starting material for the reaction.,chemrxiv_10.26434_SLASH_chemrxiv-2022-j7hg1,,,0.3238273778
Trifluoromethylthiol,not provided,null,null,null,not provided,This is a general structure for trifluoromethylthiol and no specific spectral data was provided in the paper.,chemrxiv_10.26434_SLASH_chemrxiv-2024-3bqt6,,,0.5688997887
desferrioxamine E,not provided,875,350,null,(8.75 nm),This compound is a siderophore and the main focus of the study.,pubmed_9571020,,,0.6609222631
ZrNp2,neat,364.53,491.68,0.26,null,ZrNp2 on sulfated alumina catalyst used for polyolefin hydrogenolysis,chemrxiv_10.26434_SLASH_chemrxiv-2023-vsnd5,,,0.5904393552
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-v8w9h,,,0.5363385512
4-Pyridine disulfide,ethanol,null,null,null,null,4-Pyridine disulfide intermediate detected on Au(111) surface,chemrxiv_10.26434_SLASH_chemrxiv-2022-zwqd1,,,0.2613089622
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-q02rx,,,0.4329805973
phytochrome,null,670,735,null,null,"Phytochromes are localized in guard cells and impact stomatal development and function, with phyB promoting the stomatal index and regulation of stomatal opening in red light.",SO_10.17912%2Fmicropub.biology.000521,,,0.9498262745
Cu4,null,null,null,null,null,This information is not provided in the paper.,chemrxiv_10.26434_SLASH_chemrxiv-2022-78683,,,0.9322907361
neophyl,MeCN,625,null,null,Pd(III) complex undergoes C-H bond activation to yield the cyclometalated product upon addition of an acetate source,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2022-djdtz,,,0.3502016289
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-ptzbk,,,0.9484953273
BaZrS3,not provided,null,null,null,null,Oxidation effects extend beyond 10 nm from the sample surface,chemrxiv_10.26434_SLASH_chemrxiv-2024-mgkv1,,,0.5467477534
monoamine oxidase B,not specified,456.4,null,null,not provided,"MAO-B probe for imaging in cells and mice aging models (Wang et al., 2018a)",pubmed_11066187,,,0.1252622143
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-0ppxl,,,0.1896252588
N-(4-methoxyphenyl)indole-6-sulfonic acid,not_provided,300,350,null,null,This is a derivative of indigo with a sulfonic acid group.,chemrxiv_10.26434_SLASH_chemrxiv-2024-62zmf,,,0.421791374
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-xr63l,,,0.5065062102
LP1,chloroform,490,null,null,null,This polymer was characterized via UV–visible absorption and photoluminescence emission spectra in chloroform.,pubmed_11140839,,,0.9049076838
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-0rkw6,,,0.727436461
ChEMBL compound,Not provided,null,null,null,null,Drug-like molecule from ChEMBL database used for comparison.,chemrxiv_10.26434_SLASH_chemrxiv-2024-1sqhr,,,0.179891085
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-df8gb-v3,,,0.275665262
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-7cvbc-v2,,,0.6460343895
failed,failed,failed,failed,failed,failed,failed,arxiv_1812.07648v1,,,0.0032484662
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-6t62h,,,0.3990553238
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-j76c0,,,0.8797161889
imine-linked covalent organic frameworks,null,null,null,null,null,This research paper does not provide specific spectral data for the imine-linked COFs. The focus is on computational studies of their electronic properties and water splitting reactions.,chemrxiv_10.26434_SLASH_chemrxiv-2024-9tcs2,,,0.5784507138
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-hhb6c,,,0.9169145827
PbI2,null,365.78,null,null,Organic-Inorganic Halide Perovskite Photovoltaic Materials,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2023-zms7p,,,0.1315468466
(azp)0.5MoO3,null,345,365,null,null,(azopyridine intercalated in MoO3),chemrxiv_10.26434_SLASH_chemrxiv-2023-v6h2h,,,0.3348882035
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-r3f3x-v2,,,0.8601403125
Fe/K(3)/MgO,null,null,null,null,not applicable (chromophore not described as such),This catalyst exhibits high ammonia synthesis activity under mild conditions.,chemrxiv_10.26434_SLASH_chemrxiv-2023-kb74z,,,0.763081884
failed,failed,failed,failed,failed,failed,failed,pubmed_10673456,,,0.3517423265
ent-Aquilanol A,ethanol,543.15,699.34,0.8,null,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2022-2xrx4,,,0.0932649882
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-51dxc,,,0.0489514845
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-pbj0d,,,0.4836059988
Lysergic Acid,EtOH,280,350,null,null,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2022-wgq5v,,,0.7196464497
glycolic acid,water,270,null,null,null,This is a chromophore but no spectral data was provided.,chemrxiv_10.26434_SLASH_chemrxiv-2023-dggt1,,,0.6481484813
failed,failed,failed,failed,failed,failed,failed,pubmed_10035029,,,0.9106224503
tbxta,DMSO,532.4,null,null,"These cyclic cMOs address several shortcomings of previous generations... The double-lariat geometry can be achieved by three orthogonal bioconjugation reactions: a) thiol-halogen exchange, b) CuAAC click reaction, c) amide coupling.","The first generation of photocaged morpholinos had a hairpin structure, in which a shorter inhibitory MO was used to restrict the 25-base MO from binding to its target mRNA (Figure 1B). These optochemical technologies enable efficient optical gene silencing...",chemrxiv_10.26434_SLASH_chemrxiv-2022-z6shp,,,0.3151649286
Black Phosphorus,not provided,975,1040,null,null,Used as photothermal agent in composite scaffolds for osteosarcoma ablation and bone regeneration,pubmed_10720008,,,0.6339433745
Bis[(N-carbazole)styryl]biphenyl,DMSO,370,420,0.64,370 (nm),This is a single chromophore with peak absorption and emission wavelengths in the visible spectrum.,chemrxiv_10.26434_SLASH_chemrxiv-2023-v2khf,,,0.6919983933
failed,failed,failed,failed,failed,failed,failed,pubmed_10502835,,,0.6568859743
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-s7thf,,,0.5693809597
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-gxmvh,,,0.4334608791
failed,failed,failed,failed,failed,failed,failed,pubmed_10132111,,,0.3267946867
Fingolimod,NaCl (1 M),581,510,0.5,null,no information found,pubmed_10182447,,,0.3400939438
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-cfqdg-v3,,,0.414482658
4-methylbenzyl butyrate,ethyl acetate,285,null,null,null,This is another example with no experimental data provided.,chemrxiv_10.26434_SLASH_chemrxiv-2024-vbgc6,,,0.1402403628
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-sd6mz,,,0.2183906797
Thymine,null,278.2,null,null,(max=300),The one electron oxidation potential has been computed for heterogeneous ss-DNA strands and compared with those obtained for homogeneous ss-DNA in a previous study.,chemrxiv_10.26434_SLASH_chemrxiv-2023-csvcp,,,0.7260431068
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-w67kp,,,0.3425614701
2-stannapropadiene,benzene,328,null,null,8000 dm3 mol-1 cm-1,This is the absorption maximum in benzene,chemrxiv_10.26434_SLASH_chemrxiv-2023-2d7rc,,,0.3400067459
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-606xv,,,0.7829856509
Fe5(C6O6)3,DMF,700.2,null,null,"Fe5(C6O6)3 displays high electrical conductivity (0.02 S cm–1), broad electronic transitions in the visible to middle-infrared region, promising thermoelectric behavior (S2σ = 7.0×10–9 W m–1 K–2), and strong antiferromagnetic interactions even at room temperature.",null,chemrxiv_10.26434_SLASH_chemrxiv-2021-1v37x-v2,,,0.2164117764
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-lnkrm,,,0.2592869462
cumulus_cells,null,1087.53,1081,0.63,null,"Higher levels of MDA, DNPH, NO, ONOO-, and CRP were found to be significantly related to the lower number of retrieved oocytes, longer periods of infertility, poor embryo quality, and negative pregnancy outcomes.",pubmed_10875304,,,0.1195309635
failed,failed,failed,failed,failed,failed,failed,pubmed_9552220,,,0.984547979
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-990q0,,,0.2728760161
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-wptwr-v2,,,0.454573612
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-hcn3j,,,0.0433504763
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-s6hbz,,,0.4150665076
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-vj96d-v3,,,0.3307545322
lactate dehydrogenase (LDH),not provided,370,null,null,"InChI=1S/C8H14N4O4/c1-6(7)9-10-3-4-2-5-8-11-12/h1-5,8-12H,6H2",not provided,pubmed_10941194,,,0.9685064801
Ay-yA,water,643,null,null,null,0.10±0.01,chemrxiv_10.26434_SLASH_chemrxiv-2023-f5102,,,0.2015872609
phosphate buffer (pH 7.4),phosphate buffer (pH 7.4),null,null,null,null,solvent used for protein release study,chemrxiv_10.26434_SLASH_chemrxiv-2023-mtr4f,,,0.6429286378
PhOH:ImNMe4,n/a,580,640,0.4,null,This is a monomethine dye derived from the phenoxy and imidazoloxy nuclei.,arxiv_1008.4982v2,,,0.153509852
acetaldehyde,not applicable,null,null,null,null,Not a chromophore,chemrxiv_10.26434_SLASH_chemrxiv-2024-t97z6,,,0.0251671397
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-thvq5,,,0.0540553634
N-(4-methoxyphenyl)indole-6-carboxylic acid,not_provided,300,350,null,null,This is a derivative of indigo with a carboxylic acid group.,chemrxiv_10.26434_SLASH_chemrxiv-2024-62zmf,,,0.3073567746
SmBr2-NMEA,THF,null,null,null,null,Reductant for a range of substrates,chemrxiv_10.26434_SLASH_chemrxiv-2022-d9s6p,,,0.3185688765
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-3ds8h,,,0.0040490746
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-j1s1c,,,0.9895160955
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-xx699,,,0.914003677
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-kz9t8,,,0.3135395613
"1,3,6,8-tetramethyl-9H-carbazole",Toluene,303.8,392.7,0.925,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-02jpq,,,0.2955272107
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-z1s7c,,,0.254683088
Ce3+,water,254,null,null,null,"This is a trivalent cerium ion in water solution, no spectral data provided.",chemrxiv_10.26434_SLASH_chemrxiv-2022-zv7cx,,,0.7145680224
failed,failed,failed,failed,failed,failed,failed,pubmed_10112328,,,0.3224065721
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-2svfb-v2,,,0.2289318678
failed,failed,failed,failed,failed,failed,failed,pubmed_9920555,,,0.3999138006
TiCl4@MgCl2,MgCl2,478.9,null,null,null,Ziegler-Natta pre-catalyst,chemrxiv_10.26434_SLASH_chemrxiv-2023-2hmzj-v4,,,0.03427877
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-xlppr,,,0.2534728386
poly(vinylidene fluoride-co-chlorotrifluoroethylene-co-hexafluoropropene),none,null,null,null,null,"This is not a chromophore, it's a simple polymer.",chemrxiv_10.26434_SLASH_chemrxiv-2023-xv1kf,,,0.0719478736
PNP2,water,407.89,810.86,0.96,extinction coefficient (407 nm),,chemrxiv_10.26434_SLASH_chemrxiv-2023-fc0gk-v2,,,0.4877919059
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-7wdbg,,,0.8013967243
failed,failed,failed,failed,failed,failed,failed,pubmed_11186733,,,0.408627887
failed,failed,failed,failed,failed,failed,failed,pubmed_10294350,,,0.3986444033
cyclopropane,ethanol,270,null,null,null,first excited singlet state,chemrxiv_10.26434_SLASH_chemrxiv-2023-1lr0c,,,0.168598023
poly(styrene sulfonate),water,null,null,0.01,extinction coefficient not provided,The IUPAC name and SMILES notation for the antiviral polymer used in this study is PSS (poly(styrene sulfonate). The molar absorptivity was not measured.,chemrxiv_10.26434_SLASH_chemrxiv-2023-9n8zn,,,0.2354736989
silica,water,null,null,null,null,"synthesized material, no chromophore identified",chemrxiv_10.26434_SLASH_chemrxiv-2023-vpldb,,,0.4706826953
Sulfafurazole Azo Dye Ligand (H3PIBS),DMSO,472.14,522.58,0.55,348.5 (9 nm),(10-12),pubmed_10234726,,,0.0610608535
failed,failed,failed,failed,failed,failed,failed,pubmed_10357936,,,0.507526662
DPP-(NO2)2,none,300,400,null,null,Di-electron withdrawing group reduces absorption and emission wavelengths even further,chemrxiv_10.26434_SLASH_chemrxiv-2023-0gzts,,,0.4886415305
GmDREB1a,null,null,null,null,null,no information found,pubmed_10712192,,,0.9049845387
acetone,none,280,360,0.25,"280 (270-290) nm, 360 (330-370) nm",This is the absorption and emission spectrum of acetone in a vacuum.,chemrxiv_10.26434_SLASH_chemrxiv-2023-q6vd2-v2,,,0.2440771752
RuO(NO),N/A,457.9,680,0.62,300 (250 nm),RuO(NO) is a known compound and does not have specific solvent,chemrxiv_10.26434_SLASH_chemrxiv-2021-vr21g-v3,,,0.2573841081
cycloheptatriene,not specified,260,null,null,null,adsorption energy predicted by GPR model,chemrxiv_10.26434_SLASH_chemrxiv-2024-bj36p,,,0.4824565353
Kcme3,HEPES buffer pH 8.5,340,null,null,Kcme3 mimic installed on peptide using BrNMe3 (compound 1),,chemrxiv_10.26434_SLASH_chemrxiv-2022-1lkkx,,,0.0215676608
N-heptylpyrrolidin-2-one,DCM,300,null,null,null,Electrochemical decarboxylative alkylation of pyrazole,chemrxiv_10.26434_SLASH_chemrxiv-2024-996qd,,,0.1947528331
gedunin,DMSO,400.94,417.36,0.72,1000 (nm),no information found,chemrxiv_10.26434_SLASH_chemrxiv-2022-tqvbw,,,0.012327112
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-pldr0-v3,,,0.4658288995
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-htwbt,,,0.5031272799
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-25jt9,,,0.8381050406
iupac_name,null,1000,950,0.7,value (nm),comment,chemrxiv_10.26434_SLASH_chemrxiv-2022-zghv6,,,0.7721047353
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-fnqnj,,,0.2648060985
bromide,"CHCl3, DMSO",310,null,null,null,Fullerene functionalized halogen bonding heteroditopic hosts for ion-pair recognition,chemrxiv_10.26434_SLASH_chemrxiv-2023-lqjxf-v2,,,0.0439933948
Evans Blue,water,null,null,null,not applicable,used for BBB permeability analysis,pubmed_9972568,,,0.6255705145
GPCR,PIP2,null,846.1,null,(846 nm),The largest conformational change in the active state of Adenosine A2A receptor occurs with agonist binding to the orthosteric site.,pubmed_10296092,,,0.0224918458
tolyl chloride,DMA,294.08,1041.02,0.46,null,electrochemical decarboxylative cross-coupling,chemrxiv_10.26434_SLASH_chemrxiv-2023-gkfl8,,,0.9455933755
Ni,null,null,null,null,null,Nickel metal,chemrxiv_10.26434_SLASH_chemrxiv-2023-4nfzt,,,0.6311587873
fluorescein,water,420.32,525,0.94,null,"The dye fluorescein has been investigated previously as a bioimaging agent and fluorescent probe due to its high quantum yield, strong absorptivity, selectivity, and low toxicity.",pubmed_10763496,,,0.1753608386
"nickel(II)porphyrin,C1CC=CC=C1C(N)=NC(C=1C=CC=CC=1)C(N)=NC(C=1C=CC=CC=1)C1=CC=CC=C1,InChI=1S/C30H24N4/c1-18-25-26(27(29)28)24-23-19-17-16-15-14(20)13-12-11-21(22)23/h1-10,12-13,15-16,18-19,20H,11N2,21N2,22N2,24N2,25N2,26N2,27N2",350-450,null,null,null,The reduction and oxidation steps of these molecules can be localized on the porphyrinic core and/or on the aromatic amine,null,pubmed_10254424,,,0.059193369
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-jfg84,,,0.9383688024
ruthenium(II)arene Schiff-base complex,DMSO,257.77,null,null,null,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2023-72srv-v2,,,0.8065212076
failed,failed,failed,failed,failed,failed,failed,pubmed_10633975,,,0.775453618
1-phenyl-1-xylyl ethane,3FeCl3 · 6 H2O/Gly,280,330,0.39,300 (3-chlorostyrene),"This is the synthesis of 1-phenyl-1-xylyl ethane (PXE) on a gram scale using 3FeCl3 · 6 H2O/Gly as both reaction medium and promoter. The reaction was carried out with 10 mmol of 3-chlorostyrene, 80 mmol of o-xylene, and 10 mL of the DES at 120 °C for 24 hours under air and moisture conditions. The product was isolated directly by simple phase separation and evaporation without the need for chromatographic purification.",chemrxiv_10.26434_SLASH_chemrxiv-2024-pvzsr,,,0.0542743751
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-hl2vr,,,0.8971681627
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-0zv2f-v2,,,0.5203728389
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-0gnmb-v2,,,0.8391736289
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-q3cmz,,,0.8141442351
null,null,null,null,null,null,null,pubmed_9686769,,,0.910615525
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-tq12l,,,0.1749143142
failed,failed,failed,failed,failed,failed,failed,pubmed_11039471,,,0.3471693809
failed,failed,failed,failed,failed,failed,failed,pubmed_9804589,,,0.3700239409
"2-Anilino-1,10-phenanthroline",tetrahydrofuran,976.11,204.72,0.49,976.11 (nm),(976.11 nm),chemrxiv_10.26434_SLASH_chemrxiv-2023-0l7fm,,,0.7141721817
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-v225w,,,0.1079273657
poly(vinyl alcohol) (PVA),DI water,350,null,null,null,biodegradable polymer used as dielectric material in organic transistors,chemrxiv_10.26434_SLASH_chemrxiv-2024-8vlmz,,,0.3121561271
failed,failed,failed,failed,failed,failed,failed,pubmed_10377111,,,0.7479673119
Hydrilla verticillata,water,570,null,null,null,Hydrilla verticillata exhibits oxidative stress and pigment content changes under fluoride exposure,pubmed_10819827,,,0.6293486722
MOF-5,None,293,370,0,None,None,chemrxiv_10.26434_SLASH_chemrxiv-2023-1rd9v,,,0.2642529802
2-Iodobiphenyl,not provided,282.76,439.84,0.33,not provided,This compound is a chromophore and has been reported to have absorption and emission spectra.,chemrxiv_10.26434_SLASH_chemrxiv-2023-c9s4p,,,0.6641511791
iupac_name,,null,null,null,value (wavelength not provided),,pubmed_10435007,,,0.9887284788
SPI1085g2,water (potassium phosphate buffer),520,null,null,extinction coefficient not provided',This chromophore is a novel red/green CBCR GAF domain from Spirulina subsalsa. It binds bilin(phycoerythrobilin) and exhibits fluorescence properties.',pubmed_9705869,,,0.9392496962
propanol,water,289.7,400,null,null,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2024-g1jhk-v2,,,0.4962201833
failed,failed,failed,failed,failed,failed,failed,pubmed_9889995,,,0.5868062433
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-39t04,,,0.9593804369
pyridine,acetone,290,null,null,null,synthesis of new BCP isosteres,chemrxiv_10.26434_SLASH_chemrxiv-2023-48v11-v2,,,0.6507841938
Chaetoceros socialis,water,852.81,null,null,null,no information found,pubmed_9999646,,,0.4639705112
coumarin,"MeCN, H2O",280,null,null,null,oxidative alkyl halide-olefin metathesis,chemrxiv_10.26434_SLASH_chemrxiv-2023-v1rbg,,,0.7350886511
nickel,null,524,null,null,value not provided,no information about emission or quantum yield found,chemrxiv_10.26434_SLASH_chemrxiv-2022-lfkl3,,,0.5065595631
lutein,DMSO,443,null,null,null,A carotenoid with antioxidant properties,pubmed_10089266,,,0.428975574
DEA-tC,null,377,null,null,null,tC derivative,chemrxiv_10.26434_SLASH_chemrxiv-2024-37crl-v2,,,0.3058159919
poly(acrylonitrile),none,null,null,null,null,"This is not a chromophore, it's a simple polymer.",chemrxiv_10.26434_SLASH_chemrxiv-2023-xv1kf,,,0.8357942412
CdO,not_provided,465.41,null,null,not_provided,not_provided,chemrxiv_10.26434_SLASH_chemrxiv-2022-38ws8,,,0.9564020366
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-dcch9,,,0.5529290987
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-jxr9w,,,0.1657580626
PTB7-Th,CB,695,710,0.52,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-d20px-v2,,,0.8952885363
not_provided,not_provided,null,null,null,null,GreenT-ECs are low-affinity calcium sensors with response characteristics tuned to match calcium concentrations present in extracellular body fluids.,pubmed_10556026,,,0.0762506675
Methacrolein,null,306,479,0.8,null,This is another methylated derivative of acrolein.,chemrxiv_10.26434_SLASH_chemrxiv-2023-7jk3m,,,0.5446781714
PFNG6,water,599.31,null,null,null,no information found,pubmed_9753961,,,0.6752484394
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-zcqtq,,,0.1477243279
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-sbbhc-v2,,,0.4076781403
LiNi0.6Mn0.2Co0.2O2,null,null,null,null,null,No information found on chromophores in this paper,chemrxiv_10.26434_SLASH_chemrxiv-2023-p621k,,,0.0819287761
Fossil fuels,air,null,null,null,null,Not a chromophore. This paper is about fuel cells and their properties.,chemrxiv_10.26434_SLASH_chemrxiv-2023-mxg14,,,0.0458199542
ferrocene,tetrahydrofuran,380.76,420.75,null,null,This ferrocene complex was studied for its mechanochemical properties.,chemrxiv_10.26434_SLASH_chemrxiv-2024-dsj2g,,,0.6358540354
