iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,TP/TN/FP/FN,Notes
null,null,null,null,null,null,null,pubmed_11504543,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-vrzl8,,
null,null,null,null,null,null,null,pubmed_11280526,,
Zn pheophorbide a methyl ester,aqueous buffer,668,692,0.5,"49,900 M⁻¹cm⁻¹ (669 nm)",Artificial chromophore for studying excitonic coupling and energy transfer,pubmed_10153362,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-d2455-v2,,
Electra1,null,402,456,null,"null (excitation max 402 nm, emission max 456 nm)",null,pubmed_9206027,,
null,null,null,null,null,null,null,pubmed_11765533,,
β-D-Xylosyl Yariv,null,null,null,null,null,"β-D-Xylosyl Yariv shows moderate CD signals and binds AGP, but less strongly than β-D-Glucosyl and β-D-Galactosyl derivatives.",chemrxiv_10.26434_SLASH_chemrxiv.13154261.v1,,
"1H-pyrrolo[3,2-g]quinoline",methanol,370,461,0.257,null,"PyrQs are designed to study long-range hydrogen-bond relay excited-state proton transfer (SCPT) in methanol, exhibiting dual fluorescence due to tautomerization after proton transfer.",pubmed_10321479,,
null,null,null,null,null,null,null,pubmed_10222748,,
null,null,null,null,null,null,null,pubmed_10208532,,
3E-phytochromobilin,null,660,730,null,null (wavelength 660 nm),null,pubmed_11203641,,
propargyl glycine,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.12016314.v2,,
null,null,null,null,null,null,null,arxiv_2011.04847v1,,
AB3TPP-Por-C6,THF,423,651,0.13,5.58 (423 nm),AB3TPP-Por-C6 shows similar fluorescence properties to AB3TPP-Por-C4.,pubmed_9631755,,
null,null,null,null,null,null,null,pubmed_9932574,,
RuCl,CH3CN,null,null,null,null,"The paper discusses a Ru(II)-based push-pull triad (RuCl) incorporating a phenothiazine-terpyridine donor ligand. The Franck-Condon photophysics and excited state relaxation processes involving 3MLCT, 3ILCT, and 3LLCT states are investigated using steady-state and time-resolved spectroscopy, quantum chemical simulations, and dissipative quantum dynamics.",chemrxiv_10.26434_SLASH_chemrxiv-2024-9fds6,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11457010,,
null,null,null,null,null,null,null,pubmed_10550505,,
lysozyme,null,null,null,null,null,Antimicrobial peptide that hydrolyzes bacterial cell walls and exerts immunomodulatory functions.,pubmed_9243558,,
bacterioruberin,null,null,null,null,null,"Archaea carotenoid with roles in photosynthesis, membrane stabilization, and antioxidant activity; bacteriorhodopsin as a light-driven proton pump with applications in biotechnology and medicine.",pubmed_9410494,,
null,null,null,null,null,null,null,pubmed_11019675,,
null,null,null,null,null,null,null,pubmed_9119679,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vzmbx,,
±)-3a,null,275,null,null,null,UV-Vis data shows a bathochromic shift of 3 nm upon binding to ct-DNA with a Kb of 1.28 x 10^6 M⁻¹.,chemrxiv_10.26434_SLASH_chemrxiv-2022-pgg7r-v2,,
null,null,null,null,null,null,null,pubmed_11589154,,
null,null,null,null,null,null,null,pubmed_11468698,,
null,null,null,null,null,null,null,pubmed_11292828,,
null,null,null,null,null,null,null,pubmed_10544916,,
null,null,null,null,null,null,null,pubmed_11609993,,
water-soluble-oxygenated-organic-aerosol-1,water,null,null,null,0.01–0.55 m²/g at 365 nm,WSOOA is less light-absorbing than WSBBOA and contributes a small fraction of total absorption.,pubmed_10202033,,
haüyne,null,null,null,null,null,"Haüyne crystals were identified as the chromophore used in the blue glazes of medieval pottery from Melfi Castle, Italy.",pubmed_9965324,,
Phytochrome C,null,null,null,null,null (no wavelength specified),Phytochrome C forms obligate heterodimers with phyB and phyD and is involved in cooperative signaling.,pubmed_11558544,,
CyOFP1,null,430,550,0.7,10^4 (420 nm),Good classification with high diversity,pubmed_11526929,,
Pentacene,null,666,null,null,null,Chromophore used in singlet fission solar cells with efficient triplet harvesting.,pubmed_10161067,,
ZnPc,null,560.08,318.6,0.34,2.1 × 10^9 L/mol·cm (λ=680 nm),Zinc phthalocyanine is widely used in photodynamic therapy due to its high quantum yield.,chemrxiv_10.26434_SLASH_chemrxiv-2022-zj065,,
null,null,null,null,null,null,null,arxiv_0212064v1,,
7-Azetidin-4-thiocoumarin-BAPTA (2),null,null,null,0.52,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-zdlm7,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10112871,,
PtOEP,"water, TWEEN-80, NH4OH",532,432,1,null,Sensitizer in TTA-UC system with moderate quantum yield.,pubmed_10952532,,
null,null,null,null,null,null,null,pubmed_11609917,,
null,null,null,null,null,null,null,pubmed_10614421,,
null,null,null,null,null,null,null,pubmed_10643419,,
"5,12-Tetracenepropylic acid methyl ester","THF, DMF",294,null,0.51,11700,Tc-DE shows stable aggregation behavior in DMF with solvent-dependent emission properties.,pubmed_11046478,,
null,null,null,null,null,null,null,pubmed_9352964,,
probe 10,"buffer solution (MOPS, pH 7.5)",500,700,0.65,null (wavelength not specified),Selective sensing of DNA MTase activity.,pubmed_9741103,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-dcx32,,
null,null,null,null,null,null,null,pubmed_9134411,,
pentacene,null,690,null,null,null,Photoinduced force microscopy (PiFM) and Kelvin probe force microscopy (KPFM) were used to study charge transfer in pentacene bilayers with subnanometer resolution.,pubmed_10795473,,
null,null,null,null,null,null,null,pubmed_11532467,,
diaryl-hemithioindigo_9,toluene,532,617,0.76,13 800,null,pubmed_10231315,,
DAM-C3,THF,601,548,0.87,not specified (wavelength not provided),Modern SSSE with ESIPT concept.,pubmed_10099667,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-s2mm9-v2,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-8w0sg,,
failed,failed,failed,failed,failed,failed,failed,pubmed_9535730,,
tetracyanoethylene,dichloromethane,408,537,null,null,Charge transfer complex between tetracyanoethylene and 1-chloronaphthalene in dichloromethane solution; peak absorption at 408 nm and emission at 537 nm.,pubmed_9574931,,
null,null,null,null,null,null,null,pubmed_10108354,,
KDM4B,null,null,null,null,null,"KDM4B is a histone demethylase that works with KDM4C to demethylate H3K9me3 at the HIF1A locus, increasing HIF1AmRNA expression and HIF-1 activity under intermittent hypoxia.",pubmed_9597902,,
null,null,null,null,null,null,null,pubmed_9488013,,
KK 1518,aqueous,660,660,0.6,6.30×10^4 (660 nm),Highly selective rhodamine derivative for bacterial membrane labeling with positive charge and NHS group.,pubmed_10782969,,
null,null,null,null,null,null,null,pubmed_11741156,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3hsm9,,
azo dye,null,513,null,0,"null (35,000–216,000 L/(mol·cm))",Azo disperse dyes with high absorption for efficient polyethylene terephthalate dyeing performances in supercritical carbon dioxide,pubmed_9331285,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-p2kt2,,
null,null,null,null,null,null,null,arxiv_2110.01418v1,,
null,null,null,null,null,null,null,pubmed_11447666,,
null,null,null,null,null,null,null,pubmed_9370194,,
null,null,null,null,null,null,null,pubmed_9596611,,
null,null,null,null,null,null,null,pubmed_10112328,,
NOD565,solvent not specified,967.05,1035.9,0.77,[value (wavelength nm) or just the value if wavelength is not specified],Anti-inflammatory and antibacterial agent,pubmed_11181996,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11596046,,
null,null,null,null,null,null,null,pubmed_9182168,,
null,null,null,null,null,null,null,pubmed_10070396,,
failed,failed,failed,failed,failed,failed,failed,pubmed_9574924,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-sz3pn,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10683063,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-dlx0q,,
LOV domain from YF1,null,450,null,null,50000,"LOV photosensor module, flavin chromophore",pubmed_9098866,,
null,null,null,null,null,null,null,pubmed_11807973,,
null,null,null,null,null,null,null,pubmed_10624634,,
dtbbpy)Ni(o-tol)Cl,dimethylformamide,null,null,null,null,"The study uses transient L-edge X-ray absorption spectroscopy to confirm a tetrahedral 3dd excited state with a long lifetime in the Ni photocatalyst (dtbbpy)Ni(o-tol)Cl, which is significant for photocatalysis.",pubmed_11089568,,
null,null,null,null,null,null,null,pubmed_10005496,,
SPDFP,"1,4-dioxane",639,525,0.5,null,The spiropyran-functionalized chromophore exhibits reversible photoswitching behavior with absorption at 639 nm and emission at 525 nm.,pubmed_10290075,,
null,null,null,null,null,null,null,pubmed_9125230,,
null,null,null,null,null,null,null,pubmed_9783038,,
null,null,null,null,null,null,null,pubmed_10856212,,
null,null,null,null,null,null,null,pubmed_9478734,,
null,null,null,null,null,null,null,pubmed_10488197,,
tetramethylrhodamine,methanol,540,590,0.7,86000 (540 nm),Tetramethylrhodamine is another widely used fluorophore with near-infrared emission properties.,pubmed_11753610,,
null,null,null,null,null,null,null,pubmed_9709943,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v8mmt,,
null,null,null,null,null,null,null,pubmed_11208887,,
Green Fluorescent Protein Chromophore Anion,aqueous NaCl,null,null,null,null,"Ions, particularly Na+ ions forming contact ion pairs, affect the optical absorption spectra of the GFP chromophore anion by disrupting hydrogen bonding and causing spectral shifts.",chemrxiv_10.26434_SLASH_chemrxiv.8145665.v1,,
Bi(PhPDP Ph)Br,THF,524,645,0.02,10.4×10^3 M⁻¹cm⁻¹ (524 nm),"High molar absorptivity, red emission.",pubmed_11771734,,
null,null,null,null,null,null,null,pubmed_10741747,,
null,null,null,null,null,null,null,pubmed_10847043,,
peak_absorption,null,null,null,null,null,null,pubmed_10624354,,
CA-Ser,Water,365,459,0.26,null,CA-Ser is a dioxopyridine (DPR) type of chromophore derived from citric acid and serine. It exhibits the highest quantum yield among CA-based band-shifting materials with minimal redshift.,pubmed_10226408,,
null,null,null,null,null,null,null,pubmed_11417442,,
2-amidyl-3-(3-amidyl-1 H-benzo[ d]imidazolyl)-pyridine,aqueous solution,null,415,null,6000 nM,A dual emissive probe with high sensitivity through photoinduced electron transfer inhibition upon imine formation.,pubmed_10157691,,
null,null,null,null,null,null,null,pubmed_9248029,,
null,null,null,null,null,null,null,arxiv_1808.06824v1,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-l5cf2,,
"3,3,6,6-tetramethyl-9-(3-bromophenyl)-3,4,6,7,9,10-hexahydroacridine-1,8(2H,5H)-dione",DMF,null,null,null,null,"Compound 4g showed moderate binding affinity with TOP2B, p38, p53, and EGFR proteins in molecular docking studies.",pubmed_10497682,,
null,null,null,null,null,null,null,arxiv_2402.13898v2,,
"1,7-di(4-carboxyphenyl)-1,7-dicarba-closo-dodecaborane","DMF, Methanol",289,543,0.498,null,"Eu-based MOFs exhibit orange luminescence with quantum yield 20.5%, Tb-based show green with 49.8%. Mixed Eu/Tb MOFs achieve higher QY up to 69.2%.",pubmed_9136944,,
null,null,null,null,null,null,null,pubmed_10435603,,
Co 4O 4,null,null,null,null,null,null,pubmed_10787085,,
6R-5a,null,null,null,null,null,Modified 6R with cyclopentadienylidene substitution.,chemrxiv_10.26434_SLASH_chemrxiv.13498515.v1,,
null,null,null,null,null,null,null,pubmed_10435274,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11382805,,
epigallocatechin-4-phloroglucinol,acetone,null,null,0.62,null,"Epigallocatechin-4-phloroglucinol is part of the chromophores studied, with a quantum yield of 0.62.",pubmed_9415173,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-qt48w,,
null,null,null,null,null,null,null,pubmed_10095770,,
null,null,null,null,null,null,null,pubmed_9307281,,
null,null,null,null,null,null,null,pubmed_10451626,,
poly(sulfonic acid),Dichloromethane (DCM)/Hexafluoro-2-propanol (HFIP),574,574,null,null,"Polysulfonates exhibit photodegradation under UV irradiation, generating photoacid and showing fluorescence tunable from 440 to 550 nm.",chemrxiv_10.26434_SLASH_chemrxiv.13160453.v1,,
null,null,null,null,null,null,null,pubmed_10098953,,
null,null,null,null,null,null,null,pubmed_9865242,,
"1,3-Bis(2,6-diisopropylphenyl)-4,5-dihydro-1H-imidazol-3-ium acetate",null,300,470,0.86,1000-3000 M⁻¹cm⁻¹ (around 320 nm),Cu(I) carbene-metal-amide complexes exhibit efficient through-space CT TADF emission with high ΦPL (~0.86) in PMMA films.,chemrxiv_10.26434_SLASH_chemrxiv-2021-f5m4p,,
KK 1905-NHS,aqueous,680,680,0.65,6.05×10^4 (680 nm),Effective far-red emitting oxazine derivative for bacterial membrane labeling and super-resolution imaging.,pubmed_10782969,,
biliverdin IXα,null,700,800,0.15,null,"The chromophore undergoes a hula-twist mechanism upon photoisomerization, controlled by interactions with protein residues such as His290 and Tyr263, leading to early (Lumi-R) and late (Lumi-R) intermediates.",chemrxiv_10.26434_SLASH_chemrxiv-2022-gp9dm-v2,,
null,null,null,null,null,null,null,pubmed_10607539,,
null,null,null,null,null,null,null,pubmed_9309067,,
null,null,null,null,null,null,null,arxiv_0805.3829v1,,
null,null,null,null,null,null,null,pubmed_10530494,,
curcumin keto-keto tautomer,water,340,220.23,0.2,null,The keto-keto tautomer of curcumin exhibits distinct absorption characteristics in water.,pubmed_11434053,,
cowpea mosaic virus,null,700,500,0.89,null,CPMV-based VLPs for vaccine production and drug delivery,pubmed_9863966,,
null,null,null,null,null,null,null,pubmed_11122946,,
null,null,null,null,null,null,null,pubmed_11701510,,
null,null,null,null,null,null,null,pubmed_11246065,,
null,null,null,null,null,null,null,pubmed_11775701,,
perylene,choline chloride and ethylene glycol mixture,null,null,null,null (quantum yield and molar absorptivity not provided),null (comments regarding lack of specific data),pubmed_11457140,,
ZnPc,null,695.59,453.26,null,null,Study of exciton-libron coupling in chiral adsorbed single molecules using STM-EL spectroscopy.,pubmed_9556530,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-k4rwx,,
null,null,null,null,null,null,null,pubmed_10043743,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v95dn,,
null,null,null,null,null,null,null,pubmed_11840746,,
null,null,null,null,null,null,null,pubmed_9144663,,
phage display peptide 3-methyl-1-butanol,null,null,null,null,null,specific phage displayed peptide for alcohol detection in salmonella contamination,pubmed_9954637,,
rhodol_derivative_5,null,568,606,0.98,26855,Compound 11j had the highest a.u. intensity among the library members.,pubmed_10308389,,
null,null,null,null,null,null,null,pubmed_11266139,,
null,null,null,null,null,null,null,pubmed_11828474,,
null,null,null,null,null,null,null,pubmed_10180305,,
null,null,null,null,null,null,null,pubmed_10574030,,
beta-cyclodextrin,DMSO,700,600,0.8,6.5 × 10^3 L/(mol·cm),Beta-cyclodextrin is a cyclic oligosaccharide commonly used as a chromophore in nanomedicine due to its ability to form inclusion complexes with guest molecules.,pubmed_11719597,,
null,null,null,null,null,null,null,pubmed_10161522,,
2-(4-morpholinobenzylideneamino)phenol,null,335,350,0.77,null (wavelength not specified),"DNA-binding complexes with Mn(II), Co(II), and Ni(II) via intercalation",pubmed_10508264,,
null,null,null,null,null,null,null,pubmed_10770181,,
Iron(II) nitrosyl tetraaqua,water,550,430,null,1200 (550 nm),The equilibrium between penta-aqua and tetra-aqua species explains the dual UV-vis peaks observed in the brown ring test.,chemrxiv_10.26434_SLASH_chemrxiv-2021-xtlzj-v2,,
null,null,null,null,null,null,null,pubmed_11270829,,
"n,C,n-pincer bismuthinidene",MeCN,630,795,3e-05,3620 (630 nm),null,pubmed_11848931,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-gzs6g,,
null,null,null,null,null,null,null,pubmed_11195673,,
null,null,null,null,null,null,null,pubmed_10494760,,
null,null,null,null,null,null,null,pubmed_10934225,,
null,null,null,null,null,null,null,pubmed_9924364,,
null,null,null,null,null,null,null,pubmed_11450820,,
11-cisretinal,lipidic cubic phase,480,null,null,0.101,"The chromophore undergoes rapid cis-to-trans isomerization upon photoactivation, storing energy and initiating signaling pathways in vision.",pubmed_10060157,,
null,null,null,null,null,null,null,pubmed_10301472,,
null,null,null,null,null,null,null,pubmed_11203235,,
"Irid{κ 2- C,O-[C(CH 2tBu)NC(Ph)O]}{κ 2- C,N-(MeC 6H 3-py)} 2",toluene,962.02,289.03,0.39,10^4 M–1cm–1 (300 nm),Iridaoxazole derivative with phenyl substituent; orange emission; moderate quantum yield.,pubmed_9949702,,
mTAT[Ln·L],PBS,360,600,0.15,null,Lanthanide-based probes with efficient cytosolic delivery for two-photon microscopy; moderate to high quantum yields; toxicity can be controlled by antenna modification.,pubmed_11206396,,
null,null,null,null,null,null,null,pubmed_9183799,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10222211,,
IQM-266,HEPES buffer,260,null,0.81,15930 M⁻¹cm⁻¹ (280 nm),IQM-266 is a KChIP2 ligand used in fluorescence binding assays to study interactions with KChIP2.,pubmed_9409462,,
null,null,null,null,null,null,null,pubmed_11205170,,
bodipy-dimer-2,acetonitrile,480,520,0.25,null,The 3-8′ BODIPY dimer shows absorption at 480 nm and emission at 520 nm in non-polar solvents with a lower quantum yield of 25% due to efficient ICT.,pubmed_10380594,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-vq9dd,,
null,null,null,null,null,null,null,pubmed_10876640,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-16kq7,,
null,null,null,null,null,null,null,pubmed_9324072,,
"7,8-dimethyl-10-(1'-D-ribityl)isoalloxazine",water,446,null,null,null (absorption coefficient not provided),null,pubmed_9948204,,
Phycocyanin,phosphate buffer,620,650,null,null,C-PC chromophores exhibit conformational mobility affecting spectral properties and quantum yield upon denaturation by urea.,pubmed_9440762,,
null,null,null,null,null,null,null,pubmed_10813238,,
null,null,null,null,null,null,null,pubmed_10007032,,
null,null,null,null,null,null,null,pubmed_10421651,,
null,null,null,null,null,null,null,pubmed_10025027,,
null,null,null,null,null,null,null,arxiv_1105.4189v1,,
null,null,null,null,null,null,null,pubmed_11844292,,
arylidene imidazolone with meta-trifluoromethyl group,DMF,400,500,0.15,null,This compound has low fluorescence quantum yield in aqueous media but high in non-polar solvents.,pubmed_10298595,,
HSD560,solvent not specified,554.65,480.95,0.76,[value (wavelength nm) or just the value if wavelength is not specified],Cys-triggered H 2S donor with high efficiency,pubmed_11181996,,
null,null,null,null,null,null,null,pubmed_9631091,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bjp79,,
paclitaxel,ethanol,null,null,0.25,1.5 × 10⁻¹² L/(mol·cm),Paclitaxel is a diterpenoid pseudoalkaloid used in chemotherapy with reported absorption and emission peaks.,pubmed_10975431,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-pjg54-v2,,
"2,4,6-tris(2-pyridyl)-1,3,5-triazine",null,274,null,0,null,tptz ligand used in Ru and Fe complexes for DNA binding and antibacterial studies,pubmed_10562978,,
null,null,null,null,null,null,null,pubmed_9068241,,
trolox,null,400,520,0.6,null,Trolox is a radical scavenger used for photoprotection in fluorophores.,pubmed_9828348,,
Ag+(CO₂)₈,null,null,null,null,null (wavelength not specified),Chromophore used in studying molecular clusters; specifically Ag+(CO₂)₈ cluster.,pubmed_10785639,,
null,null,null,null,null,null,null,pubmed_10880920,,
"2,6-dichloro-meso-(3-pyridyl)-BODIPY",acetonitrile,510,540,0.58,7x10^3 L/(mol·cm),Chlorination increases fluorescence due to reduced nonradiative decay.,pubmed_9315496,,
sodium_resorufin,dimethylformamide,null,null,null,null,Chromophore included in metal-organic framework via size-selective sieving; involved in Förster resonance energy transfer (FRET) studies.,pubmed_10107947,,
pyridinium_D_A_nanohoop,CH2Cl2,330,448,0.6,null,D–A nanohoop with pyridinium substituent used as a fluorophore in bioimaging.,pubmed_9728570,,
null,null,null,null,null,null,null,pubmed_11323311,,
cytochrome-c-oxidase,null,800,null,null,null,Comments on oxCCO as a biomarker and its measurement challenges using NIRS.,pubmed_11482185,,
sodium 2-[7-(oxabicyclo[2.2.1]heptan)]benzophenone-6-carboxylate,"dimethylformamide (DMF), chloroform",null,null,null,null,"Chromophore diffusion into nanosized channels resulted in alignment constrained by the crystallographic structure, leading to polarized-light dependent coloration of the crystals.",pubmed_11789549,,
DBTD3,null,616.745,null,null,null (wavelength not specified),DBTD3 has five aniline monomers added as π-linkers.,pubmed_10308399,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-t5246,,
null,null,null,null,null,null,null,pubmed_11099975,,
Nap6HI,null,475,615,0.18,"18,600 cm⁻¹M⁻¹",Bulky probe with minimal background fluorescence.,chemrxiv_10.26434_SLASH_chemrxiv-2022-m2qsj,,
null,null,null,null,null,null,null,pubmed_11589683,,
null,null,null,null,null,null,null,pubmed_10935104,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.9729494.v1,,
null,null,null,null,null,null,null,pubmed_9862924,,
null,null,null,null,null,null,null,pubmed_10075062,,
null,null,null,null,null,null,null,pubmed_10434281,,
null,null,null,null,null,null,null,pubmed_11552447,,
"4-([1]^{4}Th)Perylene-2,5,9,12-tetraimide","chloroform, chlorobenzene, and o-dichlorobenzene",500,515,0.5,210000 (500 nm),The novel N-annulated PDI tetramer Th4PDI4 was synthesized via direct(hetero)arylation and characterized for its optical properties.,chemrxiv_10.26434_SLASH_chemrxiv.9894104.v1,,
calmodulin binding peptide-circularly permuted green fluorescent protein (cbp-cp GFP),null,490,510,0.6,null,"a variant of gfp modified to bind calmodulin, used in calcium indicators like gcamp.",pubmed_9180859,,
cationic lipid polymers,null,null,null,null,null,cationic lipid polymers for siRNA transfection in pancreatic cancer,pubmed_10536303,,
n-ethylcarbazole-6-oxobenzothymine,tetrahydrofuran (thf),441,506,0.6,26543.0 M−1cm−1,"Cz-BA exhibits strong absorption at 441 nm and emission at 506 nm with a high quantum yield of approximately 0.60. Its molar absorptivity is 26,543 M⁻¹cm⁻¹.",pubmed_10877267,,
J798,water,664,null,0.31,1.5×10^4 (664 nm),J798 dye forms stable J-aggregate in PVA film; peak absorption at 664 nm; contributes to infrared polaritonic properties.,pubmed_11501215,,
salicylaldehyde-based thiosemicarbazone (HMCT5),ethanol,341,null,null,null,Methoxy substitution affects charge transference; Emission not directly measured.,pubmed_10116548,,
acrylanilide,CH2Cl2,440,440,0.003,null (wavelength not specified),Enantioselective photocyclization using Ir catalysts with acrylanilide substrate.,chemrxiv_10.26434_SLASH_chemrxiv-2022-dnzbk,,
null,null,null,null,null,null,null,pubmed_11378158,,
stremycins A-B,null,null,null,null,null,"Two undescribed angucycline-type glycosides, namely stremycins A (4) and B (5), were isolated from the culture extract of Streptomyces pratensis strain NA-ZhouS1, which was obtained from a marine sediment in Zhoushan, East China Sea. The structures of both compounds were determined using high-resolution time-of-flight mass spectrometry (HR-TOF-MS), 1D, and 2D NMR techniques. Compounds 4 and 5 have the same glycone moiety, comprising β-olivose-(4→1)-β-olivomycose-(3→1)-4-O-carbamoyl-β-amicetose, but slightly differ only in the tetracyclic benz[α]anthracene skeleton with the hydroxyl group on C-4 in 5. Both compounds were isolated from 25 L of a metal-stress medium culture (liquid gauze’s medium containing 20 g of soluble starch, 1 g of KNO₃, 0.5 g of K₂HPO₄, 0.5 g of MgSO₄·7H₂O, 0.01 g of FeSO₄·7H₂O, 35 g of sea salt per liter at pH 7.4 and supplemented with 100 µM of NiCl₂·6H₂O) and incubated at 28 °C for 10 days. Nickel was selected due to its capacity to activate cryptic gene clusters, which induce the production of bioactive metabolites that were not detected in the medium without metal. Both compounds showed antibacterial activity with a MIC value of 16 µg/mL against Pseudomonas aeruginosa, methicillin-resistant S. aureus (MRSA), K. pneumoniae, and E. coli.",pubmed_9861457,,
null,null,null,null,null,null,null,pubmed_10844203,,
fluvirucin B1,null,650.4,null,0.32,null (650 nm),Macrolactam fluvirucin with inhibitory activity against influenza virus and Gram-positive bacteria.,pubmed_10951976,,
null,null,null,null,null,null,null,pubmed_9776340,,
null,null,null,null,null,null,null,pubmed_11731721,,
null,null,null,null,null,null,null,pubmed_10641873,,
failed,failed,failed,failed,failed,failed,failed,arxiv_0708.1128v1,,
null,null,null,null,null,null,null,pubmed_9577198,,
null,null,null,null,null,null,null,pubmed_10489142,,
null,null,null,null,null,null,null,pubmed_11403590,,
null,null,null,null,null,null,null,pubmed_10107698,,
AmmonChrom7,aqueous,750,1050,0.55,null,AmmonChrom7 is a highly cationic chromenylium dye used for cell tracking and tumor imaging.,chemrxiv_10.26434_SLASH_chemrxiv-2022-h8rjb,,
null,null,null,null,null,null,null,pubmed_11804166,,
null,null,null,null,null,null,null,pubmed_10730023,,
null,null,null,null,null,null,null,pubmed_11670689,,
null,null,null,null,null,null,null,pubmed_11040637,,
"4′,7-dimethoxyluteolin",null,null,null,null,null,null,pubmed_11721769,,
"1,4-dideoxy-1,4-imino-D-ribitol",null,671.28,967.46,0.71,null,null,pubmed_9919133,,
PaX core,methanol,405,588.5,null,null,PaX-Tz dyads designed for super-resolution microscopy; used in photoactivation experiments; showed quenching effects and fluorogenicity; compatible with MINFLUX nanoscopy; varied structures and linkages optimized for performance.,pubmed_10450876,,
null,null,null,null,null,null,null,pubmed_11301672,,
null,null,null,null,null,null,null,pubmed_10113293,,
null,null,null,null,null,null,null,pubmed_9146887,,
null,null,null,null,null,null,null,pubmed_11511059,,
ecotype S,DM25,null,null,null,null,E. coli ecotype S can rediversify following isolation and shows distinct growth traits compared to its ancestor.,pubmed_10187175,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-l5l62,,
null,null,null,null,null,null,null,pubmed_11275916,,
null,null,null,null,null,null,null,pubmed_10975135,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-brfdm,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.6181841.v2,,
null,null,null,null,null,null,null,pubmed_11314571,,
null,null,null,null,null,null,null,pubmed_10199060,,
null,null,null,null,null,null,null,pubmed_10723062,,
null,null,null,null,null,null,null,pubmed_11432309,,
"1,4-Bis(trimethylsilyl)buta-1,3-diyne",Toluene,null,null,null,null,"Symmetrical 1,3-diyne catalyzed by [Pt(PPh3)4] for diboration.",pubmed_9396666,,
null,null,null,null,null,null,null,pubmed_11611295,,
cy5,null,300,670,0.4,null,Cy5 is another cyanine dye with different emission properties.,pubmed_9828348,,
"9,9-dimethyl-9,10-dihydroacridin-4,6-triphenyl-1,3,5-triazine",null,null,null,null,null,Study focuses on thermally activated delayed fluorescence (TADF) in organic matrices using DMAC-TRZ as a prototype dye.,pubmed_9413221,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-nfsqp,,
Ethyl thioacetate,Chloroform,null,null,null,null,Thioester group exhibits moderate electric fields with solvent interactions.,chemrxiv_10.26434_SLASH_chemrxiv-2022-f01l4,,
juglone,null,null,null,null,null,Juglone from walnut husk extract can be used as a mordant dye to obtain brownish color and has antibacterial activity.,pubmed_9692289,,
5-Carboxyrhodamine 110,water,null,null,null,null,Study of fluorophore mobility and its impact on FRET efficiency in the gas phase.,chemrxiv_10.26434_SLASH_chemrxiv-2023-fcnwg,,
null,null,null,null,null,null,null,pubmed_10825131,,
3-phycocyanin,null,620,null,0.02,null (absorption around 620 nm),Alterations in energy transfer properties under desiccation,arxiv_1707.00817v1,,
null,null,null,null,null,null,null,pubmed_10134414,,
null,null,null,null,null,null,null,pubmed_9144801,,
