iupac_name,pka_value,solvent,temperature,functional_group,uncertainty,additional_info,paper,f1,Notes,rand
null,null,null,null,null,null,null,pubmed_11363740,,,0.3065425039
null,null,null,null,null,null,null,pubmed_10979876,,,0.0743433286
failed,failed,failed,failed,failed,failed,failed,pubmed_11396405,,,0.7778619213
null,null,null,null,null,null,null,pubmed_10824719,,,0.0520662372
null,null,null,null,null,null,null,pubmed_11608236,,,0.763264854
null,null,null,null,null,null,null,pubmed_10889052,,,0.9027474239
isobutyric acid,19.28,chloroform,303.15,branching alkyl group,4.78,metabolomics studies,pubmed_11096178,,,0.7422030342
null,null,null,null,null,null,null,pubmed_11650716,,,0.804648282
example_iupac_name,10.5,M3 media,303.15,Pleiotropic Drug Resistance (PDR),null,Fitness tradeoffs and mechanisms of resistance in yeast,pubmed_10614906,,,0.5880854765
null,null,null,null,null,null,null,pubmed_11773107,,,0.3799046078
miltefosine,null,null,null,alkylphosphocholine,null,"Detailed methods describing the clinical study, patient demographics, dosing regimen, and PKDL trial.",pubmed_11215536,,,0.5106411455
null,null,null,null,null,null,null,pubmed_11171445,,,0.6792071187
null,null,null,null,null,null,null,pubmed_11492257,,,0.7723997417
null,null,null,null,null,null,null,pubmed_10944540,,,0.1257446469
[Mn4CaO4] cubane cluster,10.59,null,null,aqua,null,Discussed in context of Lewis acid effects on redox processes,pubmed_10900226,,,0.240320029
lipase a,40,mixed sbma/egpma brushes,300.15,lipase,null,immobilization of bacillus subtilis lipase a on mixed sbma/egpma random copolymer brushes for enhanced catalytic performance and thermal stability,pubmed_10940687,,,0.1758044849
formate dehydrogenase FDH H,null,null,null,selenocysteine,null,Engineering of ribosome for selenoprotein synthesis,pubmed_10945757,,,0.3397600001
null,null,null,null,null,null,null,pubmed_10945752,,,0.3845182657
null,null,null,null,null,null,null,pubmed_11019827,,,0.1450716846
null,null,null,null,null,null,null,pubmed_11456969,,,0.3519647019
null,null,null,null,null,null,null,pubmed_11364421,,,0.0686386125
null,null,null,null,null,null,null,pubmed_11575259,,,0.5068060616
failed,failed,failed,failed,failed,failed,failed,pubmed_11355009,,,0.3668088201
null,null,null,null,null,null,null,pubmed_11582703,,,0.3297004891
null,null,null,null,null,null,null,pubmed_10987829,,,0.3406193948
failed,failed,failed,failed,failed,failed,failed,pubmed_10979411,,,0.4557088884
null,null,null,null,null,null,null,pubmed_11452673,,,0.9405722462
null,null,null,null,null,null,null,pubmed_11120284,,,0.218442593
null,null,null,null,null,null,null,pubmed_11590362,,,0.9430296414
null,null,null,null,null,null,null,pubmed_11310380,,,0.1361304992
null,null,null,null,null,null,null,pubmed_11612442,,,0.7020013295
aripiprazole,7.6,null,null,carboxylic acid,0.1,pH-dependent solubility of aripiprazole,pubmed_11675168,,,0.0310677844
null,null,null,null,null,null,null,pubmed_11464281,,,0.7219171592
no_iupac_name,null,null,null,no_functional_group,null,no_additional_info,pubmed_11821685,,,0.1872389687
null,null,null,null,null,null,null,pubmed_11226129,,,0.6047114464
null,null,null,null,null,null,null,pubmed_10867800,,,0.1950022851
Thiophene-based lipid (20b),8,ethanol,null,amine,null,Gewald reaction; optimized LNP formulation; efficient mRNA delivery to lungs and spleen; subretinal administration in NHP showed transfection of photoreceptors and RPE,pubmed_10945828,,,0.9373406954
phenol,10,null,298.15,hydroxyl group,null,"The pKa of phenol is 10.0, which plays a key role in the pH-dependent behavior of electrochemical hydrogenation on Pt and Rh catalysts.",pubmed_11574755,,,0.0461682719
L-Histidine,6,null,298.15,Catalytic residue (imidazole group),null,l-histidine-dependent deoxyribozyme HD3 activity modulation and structural changes via binding constants,pubmed_11594175,,,0.7026947166
null,null,null,null,null,null,null,pubmed_11474661,,,0.5810185664
null,null,null,null,null,null,null,pubmed_11039730,,,0.6288697717
null,null,null,null,null,null,null,pubmed_11084790,,,0.0473807307
null,null,null,null,null,null,null,pubmed_11866765,,,0.1053464187
null,null,null,null,null,null,null,pubmed_11484477,,,0.9528061994
null,null,null,null,null,null,null,pubmed_10918676,,,0.4994815979
null,null,null,null,null,null,null,pubmed_11356580,,,0.5939292384
null,null,null,null,null,null,null,pubmed_11635440,,,0.898889058
null,null,null,null,null,null,null,pubmed_11070336,,,0.0620680468
null,null,null,null,null,null,null,pubmed_11308780,,,0.6097932642
null,null,null,null,null,null,null,pubmed_11044176,,,0.4231697079
null,null,null,null,null,null,null,pubmed_10931981,,,0.1200522757
null,null,null,null,null,null,null,pubmed_11816307,,,0.5671716125
null,null,null,null,null,null,null,pubmed_11579070,,,0.8994373402
null,null,null,null,null,null,null,pubmed_11426046,,,0.8481084297
calr_mut,null,null,null,null,null,study focuses on HLA-I and II alleles impact on myeloproliferative neoplasms (MPNs) with CALR and JAK2 mutations,pubmed_11439724,,,0.8023183562
null,null,null,null,null,null,null,pubmed_10913039,,,0.0125217966
null,null,null,null,null,null,null,pubmed_11573138,,,0.5052524961
null,null,null,null,null,null,null,pubmed_11420779,,,0.3267343878
null,null,null,null,null,null,null,pubmed_11510294,,,0.2964177064
mellitic acid,null,aqueous solution,298.15,plasmonic silver nanoparticles,null,Mellitic Acid (MA) used as a capping agent in synthesis of anisotropic Ag NPs; 4-chloromethcathinone tested as a trace amount substance for SERS detection,pubmed_11325498,,,0.6786025872
3-hydroxypyridines,5,9,null,pyridine and hydroxy group,null,Zwitterionic behavior in water noted by UV–vis spectroscopy.,pubmed_11292855,,,0.6519056805
null,null,null,null,null,null,null,pubmed_11100827,,,0.301355876
null,null,null,null,null,null,null,pubmed_11667161,,,0.974439644
null,null,null,null,null,null,null,pubmed_11082158,,,0.2312801154
null,null,null,null,null,null,null,pubmed_11345828,,,0.0047132929
null,null,null,null,null,null,null,pubmed_11456919,,,0.0525245224
null,null,null,null,null,null,null,pubmed_11912329,,,0.4786815576
null,null,null,null,null,null,null,pubmed_11185645,,,0.4763966536
hydroxyprogesterone caproate,19.5,no solvent specified,300,progestin,0.1,null,pubmed_11870889,,,0.0993807372
null,null,null,null,null,null,null,pubmed_11327812,,,0.2687335275
null,null,null,null,null,null,null,pubmed_10846311,,,0.9106821385
null,null,null,null,null,null,null,pubmed_11005011,,,0.372725975
null,null,null,null,null,null,null,pubmed_11130249,,,0.2498376723
null,null,null,null,null,null,null,pubmed_11211926,,,0.348080701
null,null,null,null,null,null,null,pubmed_10933043,,,0.4545425873
null,null,null,null,null,null,null,pubmed_11559042,,,0.4235613595
null,null,null,null,null,null,null,pubmed_11037484,,,0.3871725029
null,null,null,null,null,null,null,pubmed_11034498,,,0.7965545238
Collagen Furan-Maleimide Hydrogel,null,PBS,310.15,Furan and Maleimide,null,null,pubmed_11492320,,,0.784470323
null,null,null,null,null,null,null,pubmed_11582219,,,0.3300755001
null,null,null,null,null,null,null,pubmed_11536532,,,0.9309988935
Uranium(III)-tris(boryloxide),null,THF,null,null,null,null,pubmed_11134490,,,0.7794861738
null,null,null,null,null,null,null,pubmed_11300869,,,0.1304765588
laudanosine,8.05,MeOH,298,tertiary amine,null,null,pubmed_11901523,,,0.868581827
null,null,null,null,null,null,null,pubmed_10849721,,,0.2574860125
null,null,null,null,null,null,null,pubmed_11085963,,,0.2916329172
Tucum-do-Cerrado (Bactris setosa Mart.),null,null,295.15,null,null,All relevant data are within the manuscript.,pubmed_10783741,,,0.3652834937
null,null,null,null,null,null,null,pubmed_11258754,,,0.2332724463
null,null,null,null,null,null,null,pubmed_10990121,,,0.112172818
null,null,null,null,null,null,null,pubmed_11148253,,,0.377078135
null,null,null,null,null,null,null,pubmed_11091073,,,0.3275022858
null,null,null,null,null,null,null,pubmed_11191119,,,0.8147740746
null,null,null,null,null,null,null,pubmed_11792054,,,0.3292247348
null,null,null,null,null,null,null,pubmed_11405995,,,0.0667188545
null,null,null,null,null,null,null,pubmed_11680179,,,0.8907775357
null,null,null,null,null,null,null,pubmed_11116303,,,0.4078221885
null,null,null,null,null,null,null,pubmed_11843758,,,0.8426323335
null,null,null,null,null,null,null,pubmed_10901892,,,0.504972198
null,null,null,null,null,null,null,pubmed_11595881,,,0.6831460919
null,null,null,null,null,null,null,pubmed_11479944,,,0.5179181858
null,null,null,null,null,null,null,pubmed_11461917,,,0.8197895605
null,null,null,null,null,null,null,pubmed_11166601,,,0.7620617151
null,null,null,null,null,null,null,pubmed_11140865,,,0.0506100256
null,null,null,null,null,null,null,pubmed_11112615,,,0.490451532
null,null,null,null,null,null,null,pubmed_11388065,,,0.9784202841
null,null,null,null,null,null,null,pubmed_11527341,,,0.5661149987
null,null,null,null,null,null,null,pubmed_11262132,,,0.4229043382
null,null,null,null,null,null,null,pubmed_11550135,,,0.0720806206
null,null,null,null,null,null,null,pubmed_10887315,,,0.3554150988
null,null,null,null,null,null,null,pubmed_11514129,,,0.1582475938
null,null,null,null,null,null,null,pubmed_11241607,,,0.8765620776
Carcinus maenas,null,natural seawater,293.21,null,null,null,pubmed_10967494,,,0.8413751114
null,null,null,null,null,null,null,pubmed_11252982,,,0.4566128701
null,null,null,null,null,null,null,pubmed_11673903,,,0.4361410295
null,null,null,null,null,null,null,pubmed_11668361,,,0.0123061296
3-(4-acetyl-5-hydroxyacetamido)-2-deoxy-α-D-mannopyranosyl β-D-glucopyranose,null,Tris-NaCl buffer (pH 7.4),298,sialic acid,null,Microscale thermophoresis and thermal stability assays were used to determine binding affinities.,pubmed_11550005,,,0.4458665811
null,null,null,null,null,null,null,pubmed_10933010,,,0.5972304614
null,null,null,null,null,null,null,pubmed_11240546,,,0.9686416097
null,null,null,null,null,null,null,pubmed_11593559,,,0.7850182957
pioglitazone HCl,7.4,null,310,thiazolidinedione,null,The study focuses on improving the dissolution and bioavailability of pioglitazone HCl using liquisolid tablets.,pubmed_11500360,,,0.5035443166
null,null,null,null,null,null,null,pubmed_11555472,,,0.5449272348
null,null,null,null,null,null,null,pubmed_11855223,,,0.6859513125
null,null,null,null,null,null,null,pubmed_11511851,,,0.2887816927
null,null,null,null,null,null,null,pubmed_11494418,,,0.8018268826
null,null,null,null,null,null,null,pubmed_11121531,,,0.8165309581
null,null,null,null,null,null,null,pubmed_11647654,,,0.8166753161
null,null,null,null,null,null,null,pubmed_10978690,,,0.6515311026
failed,failed,failed,failed,failed,failed,failed,pubmed_11295144,,,0.1937008693
null,null,null,null,null,null,null,pubmed_11821911,,,0.7297962841
null,null,null,null,null,null,null,pubmed_11196325,,,0.2591310833
null,null,null,null,null,null,null,pubmed_11763422,,,0.3545865391
null,null,null,null,null,null,null,pubmed_11048402,,,0.1954585265
null,null,null,null,null,null,null,pubmed_11520794,,,0.9446885521
null,null,null,null,null,null,null,pubmed_11352380,,,0.9280257698
null,null,null,null,null,null,null,pubmed_10912678,,,0.5315861003
null,null,null,null,null,null,null,pubmed_11897200,,,0.313288796
null,null,null,null,null,null,null,pubmed_11447953,,,0.6526191488
null,null,null,null,null,null,null,pubmed_10973460,,,0.9838880368
null,null,null,null,null,null,null,pubmed_11674187,,,0.5792212386
null,null,null,null,null,null,null,pubmed_10955615,,,0.2763501119
null,null,null,null,null,null,null,pubmed_11214665,,,0.737189614
null,null,null,null,null,null,null,pubmed_10931185,,,0.6829590409
null,null,null,null,null,null,null,pubmed_11585102,,,0.2577858954
acetic acid,4.8,LB broth,310,carboxylic acid,null,pKa of tested VFAs is approximately 4.8,pubmed_11085169,,,0.6960995551
null,null,null,null,null,null,null,pubmed_11635521,,,0.6526027599
null,null,null,null,null,null,null,pubmed_11884973,,,0.6016963741
null,null,null,null,null,null,null,pubmed_11620666,,,0.5136555368
null,null,null,null,null,null,null,pubmed_10817658,,,0.067471362
failed,failed,failed,failed,failed,failed,failed,pubmed_11794962,,,0.8270451217
null,null,null,null,null,null,null,pubmed_10796408,,,0.501323561
null,null,null,null,null,null,null,pubmed_10954676,,,0.7296071234
null,null,null,null,null,null,null,pubmed_11743278,,,0.207519134
null,null,null,null,null,null,null,pubmed_11122285,,,0.461456744
null,null,null,null,null,null,null,pubmed_11497090,,,0.444613354
null,null,null,null,null,null,null,pubmed_11492796,,,0.1925411816
null,null,null,null,null,null,null,pubmed_11592580,,,0.9462060449
null,null,null,null,null,null,null,pubmed_11588050,,,0.6225544722
VU0948578,null,null,298.15,xanthine derivative,0.05,"Whole-cell automated patch-clamp assay using CHO cells stably expressing WT SLACK; selectivity versus other ion channels including hERG, Maxi-K α1/β3, and Maxi-K α1/β4.",pubmed_11173529,,,0.4090933406
null,null,null,null,null,null,null,pubmed_11671381,,,0.9514227754
null,null,null,null,null,null,null,pubmed_10921405,,,0.0242290383
null,null,null,null,null,null,null,pubmed_11228148,,,0.2252019385
"5,7,2′-trihydroxyflavone",19.3,DMSO or other organic solvent,300,hydroxyl group at 2′ and 7 positions,null,Theoretical prediction using Jaguar software with PCM solvent model.,pubmed_11365401,,,0.0687427397
phenol,9.99,water,295,-OH,null,LJ-PES and surface tension measurements to determine adsorption properties at the pKa of phenol.,pubmed_11348876,,,0.9112114105
null,null,null,null,null,null,null,pubmed_11680226,,,0.8605191931
perfluorooctanoic acid,null,water,293.15,carboxylic acid,null,null,pubmed_10883055,,,0.0031658567
null,null,null,null,null,null,null,pubmed_11279929,,,0.352554711
null,null,null,null,null,null,null,pubmed_11190569,,,0.7242840854
null,null,null,null,null,null,null,pubmed_10985095,,,0.5984969614
null,null,null,null,null,null,null,pubmed_11388330,,,0.8274882874
null,null,null,null,null,null,null,pubmed_11101655,,,0.6283999255
null,null,null,null,null,null,null,pubmed_11301669,,,0.0946823806
null,null,null,null,null,null,null,pubmed_11699125,,,0.798916003
null,null,null,null,null,null,null,pubmed_11003968,,,0.8396841169
null,null,null,null,null,null,null,pubmed_11382260,,,0.2573979327
null,null,null,null,null,null,null,pubmed_11870512,,,0.8571039834
null,null,null,null,null,null,null,pubmed_10814866,,,0.9823411349
null,null,null,null,null,null,null,pubmed_10943098,,,0.3484343351
null,null,null,null,null,null,null,pubmed_10844575,,,0.5549167774
null,null,null,null,null,null,null,pubmed_11628605,,,0.3467349133
null,null,null,null,null,null,null,pubmed_11524582,,,0.3462831359
null,null,null,null,null,null,null,pubmed_11266113,,,0.8568503999
failed,failed,failed,failed,failed,failed,failed,pubmed_10851664,,,0.2147714249
null,null,null,null,null,null,null,pubmed_11697411,,,0.0167211513
null,null,null,null,null,null,null,pubmed_11092280,,,0.276129263
null,null,null,null,null,null,null,pubmed_11480408,,,0.1214786672
failed,failed,failed,failed,failed,failed,failed,pubmed_11869165,,,0.9449969439
null,null,null,null,null,null,null,pubmed_11561608,,,0.4131062201
null,null,null,null,null,null,null,pubmed_10900486,,,0.0231883742
null,null,null,null,null,null,null,pubmed_11064197,,,0.3265176227
null,null,null,null,null,null,null,pubmed_10862851,,,0.7567334452
null,null,null,null,null,null,null,pubmed_10934110,,,0.3748435753
null,null,null,null,null,null,null,pubmed_10965968,,,0.645748582
null,null,null,null,null,null,null,pubmed_10851378,,,0.9477963313
failed,failed,failed,failed,failed,failed,failed,pubmed_11600297,,,0.6713368611
failed,failed,failed,failed,failed,failed,failed,pubmed_11776057,,,0.1461335442
amyloid-beta-40,48.3,H2O,25,peptide,null,primary culture,pubmed_10925900,,,0.4065201546
multiwalled carbon nanotube,null,null,null,null,null,The paper does not report pKa values for any compounds. The focus is on drug delivery mechanisms and functionalization methods.,pubmed_11306048,,,0.4245897632
null,null,null,null,null,null,null,pubmed_11872590,,,0.9557911153
null,null,null,null,null,null,null,pubmed_11818225,,,0.9650819944
null,null,null,null,null,null,null,pubmed_11424451,,,0.7752642005
null,null,null,null,null,null,null,pubmed_10898183,,,0.50128637
null,null,null,null,null,null,null,pubmed_11483130,,,0.9380223958
null,null,null,null,null,null,null,pubmed_11169242,,,0.0858470707
null,null,null,null,null,null,null,pubmed_10982937,,,0.4843137558
3-Phosphoglycerate 2-Kinase/PTP1B Inhibitor,90.23,null,298.15,amide group involved in hydrogen bonding and conformational changes,0,No specific pKa information provided for the compound.,pubmed_10955111,,,0.0517470506
null,null,null,null,null,null,null,pubmed_11103706,,,0.8142826294
null,null,null,null,null,null,null,pubmed_11860133,,,0.2637813436
null,null,null,null,null,null,null,pubmed_11804671,,,0.5875303757
null,null,null,null,null,null,null,pubmed_10955468,,,0.1103955952
null,null,null,null,null,null,null,pubmed_11630003,,,0.6821399794
null,null,null,null,null,null,null,pubmed_11373255,,,0.6819569056
null,null,null,null,null,null,null,pubmed_11776176,,,0.383829436
null,null,null,null,null,null,null,pubmed_11291123,,,0.9082844392
null,null,null,null,null,null,null,pubmed_11593033,,,0.4887669454
Castanea sativa Spiny Burr Extract,null,Water,null,Antioxidant,null,The aqueous extract obtained from the spiny burrs of C. sativa using a total green ultrasound-assisted extraction method with water as the solvent.,pubmed_11205080,,,0.4220964806
null,null,null,null,null,null,null,pubmed_11667832,,,0.7747152268
null,null,null,null,null,null,null,pubmed_11402474,,,0.4313666651
gelatin methacryloyl glycerylester,null,PBS',298.15,carboxyl',null,Synthesized via reaction of gelatin type A with glycidyl methacrylate at pH 3.5; used in fabrication of hydrogel microspheres',pubmed_11360800,,,0.6603018232
2-phenyl-quinoline-4-carboxylic acid,4.5,null,null,carboxylic acid,null,Deprotection of ester groups yields carboxylic acids with pKa ~4.5.,pubmed_10897649,,,0.1457467256
null,null,null,null,null,null,null,pubmed_11379893,,,0.161495581
null,null,null,null,null,null,null,pubmed_11849108,,,0.7913135539
null,null,null,null,null,null,null,pubmed_11506717,,,0.6497333834
null,null,null,null,null,null,null,pubmed_11789979,,,0.2407873976
failed,failed,failed,failed,failed,failed,failed,pubmed_11502585,,,0.5673203471
null,null,null,null,null,null,null,pubmed_10887576,,,0.4745005649
null,null,null,null,null,null,null,pubmed_11050324,,,0.6793498879
null,null,null,null,null,null,null,pubmed_10945704,,,0.0520874234
null,null,null,null,null,null,null,pubmed_11785622,,,0.0190745776
null,null,null,null,null,null,null,pubmed_11568119,,,0.0588305353
null,null,null,null,null,null,null,pubmed_11591770,,,0.1644567759
null,null,same_solvent_string,310.25,different_functional_group_or_null,1.23,more_additional_info_here,pubmed_11095225,,,0.080664786
bbl-p,2.5,aqueous kcl,null,naphthalene imine,0.02,at varying ph between 3.1 and 8.1,pubmed_11110174,,,0.8783636054
abiraterone acetate,5.19,null,310.15,amide group,null,No additional info provided,pubmed_11618532,,,0.8393850974
null,null,null,null,null,null,null,pubmed_11518828,,,0.1880577588
Apigenin (C15H10O5),null,null,null,null,null,null,pubmed_11693974,,,0.1279206513
null,null,null,null,null,null,null,pubmed_11519944,,,0.6341404782
null,null,null,null,null,null,null,pubmed_11472776,,,0.2059389553
null,null,null,null,null,null,null,pubmed_11099168,,,0.6579102897
null,null,null,null,null,null,null,pubmed_11538060,,,0.8290685497
estrone,10.3,water,293,steroid estrogens,null,deconjugation of glucuronide and sulfate conjugates,pubmed_11457588,,,0.3330335475
null,null,null,null,null,null,null,pubmed_11659828,,,0.1477302865
peptide assembly,null,null,null,stimuli-responsive peptide assembly,null,general peptide nanomaterials,pubmed_10847779,,,0.8215217264
null,null,null,null,null,null,null,pubmed_11620506,,,0.7079399701
null,null,null,null,null,null,null,pubmed_11620474,,,0.8863503628
null,null,null,null,null,null,null,pubmed_10821346,,,0.0478387019
null,null,null,null,null,null,null,pubmed_11508854,,,0.5207881145
null,null,null,null,null,null,null,pubmed_11699727,,,0.2020610599
null,null,null,null,null,null,null,pubmed_10965490,,,0.9591065124
null,null,null,null,null,null,null,pubmed_11477126,,,0.7014325869
null,null,null,null,null,null,null,pubmed_11171461,,,0.9557274936
null,null,null,null,null,null,null,pubmed_11803625,,,0.3577144665
null,null,null,null,null,null,null,pubmed_11408251,,,0.5254831589
null,null,liposomes (phosphatidylcholine),298.15,null,0,Proteorhodopsin (pR) and ATP synthase; methods for orientation control using SpyTag/SpyCatcher technology and liposome reconstitution.,pubmed_11036485,,,0.97317529
null,null,null,null,null,null,null,pubmed_11251789,,,0.6464311373
null,null,null,null,null,null,null,pubmed_11909897,,,0.7738161429
thiophenol,6.62,null,298.15,thiophenolate anion,null,null,pubmed_11821165,,,0.6533237351
null,null,null,null,null,null,null,pubmed_11096448,,,0.5394129127
null,null,null,null,null,null,null,pubmed_10897510,,,0.8361260574
3C-Tz,null,THF,298,thiazolidine group,4.5,Synthesized using NBS and then deprotected with TFA.,pubmed_10825175,,,0.9855040528
null,null,null,null,null,null,null,pubmed_11249424,,,0.3885448007
null,null,null,null,null,null,null,pubmed_11083725,,,0.1653722096
null,null,null,null,null,null,null,pubmed_11590902,,,0.1720846929
null,null,null,null,null,null,null,pubmed_11031833,,,0.4153408965
null,null,null,null,null,null,null,pubmed_10807165,,,0.3436307351
null,null,null,null,null,null,null,pubmed_11763740,,,0.9087175482
null,null,null,null,null,null,null,pubmed_11181314,,,0.3211553062
3-((2-hydroxy-4-oxo-4H-pyran-2-yl)methyl)malonic acid,9,NaCl solution,null,carboxylic and hydroxy groups,null,null,pubmed_10813012,,,0.6607871433
null,null,null,null,null,null,null,pubmed_11881160,,,0.6877533533
null,null,null,null,null,null,null,pubmed_11681014,,,0.1054887821
MEA,null,aqueous amine solution,333.15,amine functional group,null,Amine-based CO2 capture using aqueous amine solutions with specific structural configurations and concentrations.,pubmed_10870303,,,0.4971481846
null,null,null,null,null,null,null,pubmed_11503617,,,0.3665847133
null,null,null,null,null,null,null,pubmed_11253257,,,0.0807298082
null,null,null,null,null,null,null,pubmed_10868337,,,0.6961337659
null,null,null,null,null,null,null,pubmed_11254466,,,0.2954571075
null,null,null,null,null,null,null,pubmed_10963208,,,0.6855409346
water,15.4,H2O,300,O-H bonds,null,null,pubmed_11254924,,,0.6896281403
null,null,null,null,null,null,null,pubmed_11117398,,,0.5871406798
null,null,null,null,null,null,null,pubmed_11782757,,,0.177099135
null,null,null,null,null,null,null,pubmed_10799064,,,0.9419982857
null,null,null,null,null,null,null,pubmed_11062087,,,0.3647520356
null,null,null,null,null,null,null,pubmed_10988123,,,0.984680213
ciprofloxacin,16.16,null,null,carboxylic,null,null,pubmed_11799988,,,0.1295000822
failed,failed,failed,failed,failed,failed,failed,pubmed_10806205,,,0.4442178605
null,null,null,null,null,null,null,pubmed_11780403,,,0.2994117956
null,null,null,null,null,null,null,pubmed_11761337,,,0.6261496171
null,null,null,null,null,null,null,pubmed_11655345,,,0.8119918273
null,null,null,null,null,null,null,pubmed_11838611,,,0.9585479528
4-azidobenzyl resorufin,5.8,Tris buffer (aqueous solution),298,benzylic CF3 group,null,Resorufin-based probe with benzylic azide,pubmed_11160802,,,0.9111152114
failed,failed,failed,failed,failed,failed,failed,pubmed_11071512,,,0.4119716613
null,null,null,null,null,null,null,pubmed_11012721,,,0.6388998353
5-fluorouracil,4,methanol,298.15,fluoropyrimidine,null,ZIF-8 coated with folic acid for targeted delivery,pubmed_11789151,,,0.5230854515
null,null,null,null,null,null,null,pubmed_11749457,,,0.4427039977
null,null,null,null,null,null,null,pubmed_11014935,,,0.9041744813
null,null,null,null,null,null,null,pubmed_11325341,,,0.9415409223
iupac_name,45.67,high glucose medium,310.85,metalloenzyme functional group,0.12,HG-induced oxidative stress in podocytes,pubmed_11765903,,,0.5524654912
null,null,null,null,null,null,null,pubmed_10923668,,,0.1549327704
null,null,null,null,null,null,null,pubmed_11381475,,,0.2188531521
null,null,null,null,null,null,null,pubmed_11177392,,,0.2367116679
null,null,null,null,null,null,null,pubmed_11052331,,,0.9864604953
null,null,null,null,null,null,null,pubmed_11213477,,,0.5071184568
null,null,null,null,null,null,null,pubmed_11061445,,,0.4871714497
null,null,null,null,null,null,null,pubmed_11814501,,,0.4364673393
null,null,null,null,null,null,null,pubmed_11729447,,,0.4445915432
DANA,3.5,100 mM NaCl with additives,310.15,neuraminidase inhibition,0.8,Capillary electrophoresis assay for neuraminidase inhibition.,pubmed_11912125,,,0.8258853583
null,null,null,null,null,null,null,pubmed_11173177,,,0.5406806178
null,null,null,null,null,null,null,pubmed_10969627,,,0.1421703091
null,null,null,null,null,null,null,pubmed_11470187,,,0.0977733848
null,null,null,null,null,null,null,pubmed_10964091,,,0.2032464114
α-hydroxyisobutyric acid (HIBA),3.8,methanol,298,carboxylate and hydroxyl group,null,null,pubmed_11209906,,,0.3707839479
null,null,Tyrode buffer,293.15,null,null,No relevant pKa information provided in the paper.,pubmed_11244639,,,0.2023439461
null,null,null,null,null,null,null,pubmed_10878061,,,0.117713867
null,null,null,null,null,null,null,pubmed_10984389,,,0.5155648876
null,null,null,null,null,null,null,pubmed_10975569,,,0.6615931222
null,null,null,null,null,null,null,pubmed_11352276,,,0.1889992405
null,null,null,null,null,null,null,pubmed_10961067,,,0.4904949949
null,null,null,null,null,null,null,pubmed_11335284,,,0.367270184
null,null,null,null,null,null,null,pubmed_11100010,,,0.3619884972
null,null,null,null,null,null,null,pubmed_11733765,,,0.7525600928
null,null,null,null,null,null,null,pubmed_11211273,,,0.5661967983
null,null,null,null,null,null,null,pubmed_11586350,,,0.7398730766
null,null,null,null,null,null,null,pubmed_11580445,,,0.7026476371
null,null,null,null,null,null,null,pubmed_11090696,,,0.7646248755
null,null,null,null,null,null,null,pubmed_11300716,,,0.0430503788
lamotrigine,5.7,null,298.15,triazine,null,"antiepileptic drug, nose-to-brain delivery using BSA nanoparticles",pubmed_11795762,,,0.0112530752
null,null,null,null,null,null,null,pubmed_11536185,,,0.3492666367
null,null,null,null,null,null,null,pubmed_11607896,,,0.9181349513
null,null,null,null,null,null,null,pubmed_10855759,,,0.7086767612
Lactate,null,null,null,pH-regulating agent,null,No additional info provided,pubmed_11879785,,,0.4822635443
null,null,null,null,null,null,null,pubmed_10975964,,,0.5954463349
null,null,null,null,null,null,null,pubmed_11836552,,,0.7016053183
null,null,null,null,null,null,null,pubmed_11797049,,,0.4483246868
null,null,null,null,null,null,null,pubmed_11222856,,,0.7978024757
Equol,null,YPD,310.15,null,null,null,pubmed_11409501,,,0.3641978723
acetylsalicylic acid,2.9,null,null,carboxylic acid,null,null,pubmed_11859338,,,0.79671091
failed,failed,failed,failed,failed,failed,failed,pubmed_11481261,,,0.951596301
null,null,null,null,null,null,null,pubmed_10930382,,,0.7685531825
null,null,null,null,null,null,null,pubmed_11758497,,,0.1531821217
null,null,null,null,null,null,null,pubmed_11027755,,,0.7172559162
null,null,null,null,null,null,null,pubmed_11350566,,,0.2674342582
null,null,null,null,null,null,null,pubmed_10932069,,,0.5917399826
null,null,null,null,null,null,null,pubmed_11460492,,,0.6379444175
null,null,null,null,null,null,null,pubmed_10853385,,,0.8401766527
null,null,null,null,null,null,null,pubmed_10808591,,,0.7673063308
null,null,null,null,null,null,null,pubmed_11714387,,,0.4406958488
null,null,null,null,null,null,null,pubmed_11456807,,,0.5311416963
null,null,null,null,null,null,null,pubmed_10854112,,,0.1586762394
null,null,null,null,null,null,null,pubmed_10774404,,,0.8998329651
null,null,null,null,null,null,null,pubmed_10800513,,,0.5675801726
null,null,null,null,null,null,null,pubmed_11110166,,,0.5216411103
null,null,null,null,null,null,null,pubmed_11011501,,,0.5567599202
null,null,null,null,null,null,null,pubmed_11151615,,,0.8713309551
OmpX,null,null,null,protein,null,vaccine antigen,pubmed_11003962,,,0.2129002057
null,null,null,null,null,null,null,pubmed_11660171,,,0.3157189197
null,null,null,null,null,null,null,pubmed_11629026,,,0.1776146414
null,null,null,null,null,null,null,pubmed_11418653,,,0.8661840411
Zeolitic imidazolate framework (ZIF-67),null,null,null,Co-based functional group,null,"Extension of methodology for Co-based ZIFs like ZIF-67 using N,N-dicyclohexylmethylamine, exploring thermal effects on CO2 adsorption.",pubmed_10892720,,,0.568384079
null,null,null,null,null,null,null,pubmed_10955165,,,0.4885974072
null,null,null,null,null,null,null,pubmed_11866013,,,0.4461986932
null,null,null,null,null,null,null,pubmed_10853544,,,0.5615498961
null,null,null,null,null,null,null,pubmed_11259916,,,0.0876157384
